Global Company Key,Data Date,Fiscal Year,Fiscal Quarter,Industry Format,Level of Consolidation - Company Interim Descriptor,Population Source,Data Format,Ticker Symbol,Company Name,ISO Currency Code,Calendar Data Year and Quarter,Fiscal Data Year and Quarter,Active/Inactive Status Marker,Market Value - Total
001690,2008-03-31,2008,2,INDL,C,D,STD,AAPL,APPLE INC,USD,2008Q1,2008Q2,A,126485.3485
001690,2008-06-30,2008,3,INDL,C,D,STD,AAPL,APPLE INC,USD,2008Q2,2008Q3,A,148309.4777
001690,2008-09-30,2008,4,INDL,C,D,STD,AAPL,APPLE INC,USD,2008Q3,2008Q4,A,100967.1332
001690,2008-12-31,2009,1,INDL,C,D,STD,AAPL,APPLE INC,USD,2008Q4,2009Q1,A,75996.9203
001690,2009-03-31,2009,2,INDL,C,D,STD,AAPL,APPLE INC,USD,2009Q1,2009Q2,A,93757.7894
001690,2009-06-30,2009,3,INDL,C,D,STD,AAPL,APPLE INC,USD,2009Q2,2009Q3,A,127579.5361
001690,2009-09-30,2009,4,INDL,C,D,STD,AAPL,APPLE INC,USD,2009Q3,2009Q4,A,166779.0421
001690,2009-12-31,2010,1,INDL,C,D,STD,AAPL,APPLE INC,USD,2009Q4,2010Q1,A,190982.6184
001690,2010-03-31,2010,2,INDL,C,D,STD,AAPL,APPLE INC,USD,2010Q1,2010Q2,A,213764.46
001690,2010-06-30,2010,3,INDL,C,D,STD,AAPL,APPLE INC,USD,2010Q2,2010Q3,A,229768.1275
001690,2010-09-30,2010,4,INDL,C,D,STD,AAPL,APPLE INC,USD,2010Q3,2010Q4,A,259906.4875
001690,2010-12-31,2011,1,INDL,C,D,STD,AAPL,APPLE INC,USD,2010Q4,2011Q1,A,297089.0496
001690,2011-03-31,2011,2,INDL,C,D,STD,AAPL,APPLE INC,USD,2011Q1,2011Q2,A,322255.8241
001690,2011-06-30,2011,3,INDL,C,D,STD,AAPL,APPLE INC,USD,2011Q2,2011Q3,A,311133.8657
001690,2011-09-30,2011,4,INDL,C,D,STD,AAPL,APPLE INC,USD,2011Q3,2011Q4,A,354351.9056
001690,2011-12-31,2012,1,INDL,C,D,STD,AAPL,APPLE INC,USD,2011Q4,2012Q1,A,377546.67
001690,2012-03-31,2012,2,INDL,C,D,STD,AAPL,APPLE INC,USD,2012Q1,2012Q2,A,560568.4581
001690,2012-06-30,2012,3,INDL,C,D,STD,AAPL,APPLE INC,USD,2012Q2,2012Q3,A,547363.344
001690,2012-09-30,2012,4,INDL,C,D,STD,AAPL,APPLE INC,USD,2012Q3,2012Q4,A,626550.3528
001690,2012-12-31,2013,1,INDL,C,D,STD,AAPL,APPLE INC,USD,2012Q4,2013Q1,A,499695.9844
001690,2013-03-31,2013,2,INDL,C,D,STD,AAPL,APPLE INC,USD,2013Q1,2013Q2,A,416142.01
001690,2013-06-30,2013,3,INDL,C,D,STD,AAPL,APPLE INC,USD,2013Q2,2013Q3,A,360224.5063
001690,2013-09-30,2013,4,INDL,C,D,STD,AAPL,APPLE INC,USD,2013Q3,2013Q4,A,428699.7978
